               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.024915,            0.011338,             0.03596,              0.6986,             0.76929,             0.84841,             0.65718,            0.015802,           0.0035625,            0.015283,            0.001387,            0.001387,            0.001387
                  89,            0.023693,            0.011456,            0.036232,             0.70838,             0.81151,              0.8483,             0.63879,            0.017188,           0.0034686,            0.013126,            0.001288,            0.001288,            0.001288
                  90,            0.023592,            0.011182,            0.035688,             0.73713,             0.82155,             0.86134,             0.66252,            0.016268,           0.0033914,            0.012697,            0.001189,            0.001189,            0.001189
                  91,            0.023262,            0.011307,            0.035485,              0.7291,              0.8297,              0.8679,             0.65549,             0.01647,           0.0034161,            0.012623,             0.00109,             0.00109,             0.00109
                  92,            0.023957,            0.010989,            0.035191,             0.69756,              0.8436,             0.87094,              0.6613,             0.01579,           0.0033785,            0.012251,            0.000991,            0.000991,            0.000991
                  93,            0.023652,            0.011096,            0.036596,             0.78704,             0.72819,             0.86265,             0.67516,            0.015739,           0.0034212,            0.013298,            0.000892,            0.000892,            0.000892
                  94,            0.023248,            0.011179,            0.035645,              0.7595,             0.81062,             0.87567,             0.67662,            0.016106,            0.003468,            0.012036,            0.000793,            0.000793,            0.000793
                  95,            0.023404,            0.011284,            0.036504,             0.73355,             0.80167,             0.87624,             0.65501,            0.016126,           0.0034228,            0.011858,            0.000694,            0.000694,            0.000694
                  96,             0.02281,            0.011034,            0.033861,             0.74179,             0.80065,               0.865,             0.65352,            0.016025,           0.0033858,            0.012613,            0.000595,            0.000595,            0.000595
                  97,            0.022591,            0.011028,            0.035487,             0.72374,             0.81023,              0.8751,             0.67309,            0.015591,           0.0034256,            0.011902,            0.000496,            0.000496,            0.000496
                  98,             0.02227,            0.010943,            0.033543,             0.77836,             0.83378,             0.88476,             0.68103,            0.015896,           0.0033616,            0.011577,            0.000397,            0.000397,            0.000397
                  99,            0.022698,             0.01085,            0.034604,             0.75766,             0.82098,             0.88192,             0.67696,            0.015749,           0.0033786,            0.011433,            0.000298,            0.000298,            0.000298
